Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1987,10,27,2,1647,1640,1914,1903,TW,220,NA,87,83,NA,11,7,STL,DTW,440,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1709,1710,1752,1749,TW,251,NA,103,99,NA,3,-1,PIT,STL,553,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,1515,1515,1544,1545,TW,283,NA,29,30,NA,-1,0,SRQ,RSW,77,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,2017,2017,2347,2329,TW,318,NA,150,132,NA,18,0,STL,BDL,957,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,14,3,2218,2220,2335,2322,TW,367,NA,197,182,NA,13,-2,STL,PHX,1262,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,13,2,1716,1715,1824,1826,TW,403,NA,68,71,NA,-2,1,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1510,1510,1610,1600,TW,430,NA,60,50,NA,10,0,MLI,STL,187,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,13,2,641,640,1228,1225,TW,482,NA,227,225,NA,3,1,SFO,STL,1736,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,1333,1328,1539,1536,TW,504,NA,66,68,NA,3,5,STL,LEX,316,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,952,946,1147,1127,TW,525,NA,115,101,NA,20,6,STL,DFW,551,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,1848,1848,1942,1942,TW,557,NA,54,54,NA,0,0,STL,SGF,195,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1440,1436,1554,1545,TW,577,NA,74,69,NA,9,4,STL,OMA,342,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1320,1315,1604,1604,TW,598,NA,104,109,NA,0,5,STL,RDU,667,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,803,803,906,905,TW,626,NA,63,62,NA,1,0,MEM,STL,256,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,1300,1300,1407,1412,TW,649,NA,67,72,NA,-5,0,ORD,STL,258,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1709,1710,1854,1852,TW,678,NA,105,102,NA,2,-1,DFW,STL,551,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,2039,2020,2045,2025,TW,717,NA,66,65,NA,20,19,CLE,MKE,328,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1649,1625,1926,1901,TW,781,NA,157,156,NA,25,24,JFK,MCO,944,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,2151,2145,2312,2305,TW,881,NA,81,80,NA,7,6,MSY,SAT,495,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,2120,2120,2347,2354,UA,19,NA,327,334,NA,-7,0,EWR,LAX,2454,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,10,6,911,850,1122,1052,UA,51,NA,311,302,NA,30,21,IAD,LAX,2288,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,1702,1700,1911,1917,UA,77,NA,249,257,NA,-6,2,ORD,SFO,1846,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,7,3,1057,1100,1252,1301,UA,105,NA,235,241,NA,-9,-3,ORD,LAX,1745,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,1004,1000,1250,1220,UA,123,NA,286,260,NA,30,4,ORD,SFO,1846,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,14,3,1846,1845,2100,2053,UA,145,NA,254,248,NA,7,1,ORD,PDX,1739,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,2057,2100,2213,2225,UA,165,NA,136,145,NA,-12,-3,DEN,SFO,967,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,949,945,1232,1217,UA,197,NA,343,332,NA,15,4,LAX,HNL,2556,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,859,900,1209,1212,UA,224,NA,130,132,NA,-3,-1,DEN,ORD,888,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,830,830,914,917,UA,247,NA,104,107,NA,-3,0,DEN,PHX,602,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,1039,1040,1535,1552,UA,270,NA,176,192,NA,-17,-1,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,1121,1120,1413,1416,UA,296,NA,112,116,NA,-3,1,FAT,DEN,844,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1802,1715,2123,2022,UA,324,NA,141,127,NA,61,47,ORD,PWM,900,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,655,655,1150,1157,UA,342,NA,175,182,NA,-7,0,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,3,6,1126,1128,1142,1150,UA,367,NA,76,82,NA,-8,-2,PIT,ORD,412,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1529,1530,1650,1646,UA,387,NA,141,136,NA,4,-1,EWR,ORD,719,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,1432,1430,1600,1556,UA,407,NA,148,146,NA,4,2,IND,DEN,977,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,1701,1649,2018,1937,UA,430,NA,137,108,NA,41,12,ORD,RIC,642,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,840,838,944,959,UA,455,NA,124,141,NA,-15,2,DEN,SMF,910,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1508,1500,2134,2103,UA,472,NA,266,243,NA,31,8,SFO,ORD,1846,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,11,7,1638,1640,1730,1741,UA,490,NA,52,61,NA,-11,-2,RAP,DEN,301,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,1859,1840,2042,2009,UA,515,NA,223,209,NA,33,19,ORD,PHX,1440,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,759,800,938,946,UA,536,NA,99,106,NA,-8,-1,BOI,DEN,649,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,14,3,1919,1854,2119,2053,UA,555,NA,180,179,NA,26,25,MIA,ORD,1197,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,648,649,723,722,UA,577,NA,35,33,NA,1,-1,IAD,RIC,99,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1518,1344,1758,1632,UA,596,NA,100,108,NA,86,94,ORD,RIC,642,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,1856,1855,2126,2059,UA,623,NA,270,244,NA,27,1,ORD,SAN,1723,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,710,712,941,949,UA,644,NA,91,97,NA,-8,-2,DEN,DSM,589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,10,6,1842,1845,2138,2103,UA,671,NA,296,258,NA,35,-3,ORD,LGB,1735,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,14,3,1851,1852,2115,2114,UA,693,NA,144,142,NA,1,-1,ORD,IAH,925,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1443,1445,1558,1605,UA,710,NA,75,80,NA,-7,-2,LNK,ORD,466,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,2103,2104,2330,2330,UA,731,NA,147,146,NA,0,-1,IAD,MIA,921,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1032,1030,1109,1114,UA,749,NA,97,104,NA,-5,2,DSM,DEN,589,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,816,819,1007,1010,UA,770,NA,51,51,NA,-3,-3,ORD,IND,177,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1834,1835,2134,2141,UA,790,NA,120,126,NA,-7,-1,ORD,BOS,867,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,10,6,1424,1415,1647,1651,UA,824,NA,83,96,NA,-4,9,LAS,DEN,629,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,1136,1137,1325,1321,UA,852,NA,49,44,NA,4,-1,ORD,GRR,137,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1559,1602,1713,1709,UA,881,NA,134,127,NA,4,-3,BTV,ORD,763,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,911,910,943,937,UA,901,NA,32,27,NA,6,1,IAD,DCA,24,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1834,1830,2101,2111,UA,922,NA,87,101,NA,-10,4,DEN,TUL,541,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,1548,1550,1618,1618,UA,944,NA,30,28,NA,0,-2,SAT,AUS,66,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,707,710,738,740,UA,968,NA,31,30,NA,-2,-3,SAT,AUS,66,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,12,1,959,959,1227,1227,UA,989,NA,148,148,NA,0,0,ORD,IAH,925,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,1238,1240,1348,1342,UA,1043,NA,70,62,NA,6,-2,BUF,IAD,284,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,946,947,1055,1047,UA,1092,NA,69,60,NA,8,-1,LAX,MRY,267,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,1216,1115,1331,1240,UA,1138,NA,75,85,NA,51,61,PSP,SFO,421,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,13,2,1735,1738,1858,1858,UA,1175,NA,83,80,NA,0,-3,SFO,LAS,414,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,831,832,931,938,UA,1219,NA,60,66,NA,-7,-1,SFO,LMT,315,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1431,1320,1617,1511,UA,1262,NA,106,111,NA,66,71,SFO,SEA,679,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,11,7,1828,1830,2012,2009,UA,1297,NA,104,99,NA,3,-2,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1116,1040,1222,1135,UA,1459,NA,66,55,NA,47,36,RNO,SFO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,14,3,1344,1320,1457,1434,UA,1564,NA,73,74,NA,23,24,LAX,OAK,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,1545,1545,1824,1829,UA,1624,NA,99,104,NA,-5,0,LAX,SLC,590,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,655,645,922,915,WN,11,NA,87,90,NA,7,10,ABQ,DAL,580,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1345,1345,1430,1435,WN,26,NA,45,50,NA,-5,0,DAL,TUL,237,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1735,1735,1817,1820,WN,41,NA,42,45,NA,-3,0,HOU,CRP,187,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1905,1905,1947,1950,WN,55,NA,42,45,NA,-3,0,OKC,DAL,181,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,1530,1530,1622,1630,WN,82,NA,52,60,NA,-8,0,DAL,LIT,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,630,630,719,725,WN,145,NA,49,55,NA,-6,0,DAL,SAT,248,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1839,1815,1926,1905,WN,187,NA,47,50,NA,21,24,SAT,HRL,233,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,1440,1435,1533,1525,WN,252,NA,53,50,NA,8,5,AUS,DAL,189,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,1120,1120,1303,1310,WN,348,NA,43,50,NA,-7,0,MDW,DTW,229,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,825,825,942,940,WN,403,NA,77,75,NA,2,0,OKC,HOU,419,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,1945,1945,2236,2230,WN,429,NA,111,105,NA,6,0,SFO,PHX,651,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,755,755,809,815,WN,464,NA,134,140,NA,-6,0,AUS,PHX,872,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,842,830,1055,1045,WN,611,NA,73,75,NA,10,12,LAX,PHX,370,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,1646,1635,1750,1730,WN,709,NA,64,55,NA,20,11,PHX,LAS,256,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1430,1400,1542,1515,WN,730,NA,72,75,NA,27,30,LAX,PHX,370,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,12,1,2210,2210,2317,2325,WN,752,NA,67,75,NA,-8,0,MCI,MDW,405,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,14,3,1504,1500,1648,1645,WN,775,NA,44,45,NA,3,4,ELP,MAF,246,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,1735,1735,1739,1745,WN,810,NA,64,70,NA,-6,0,ELP,PHX,347,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1445,1445,1654,1700,WN,867,NA,69,75,NA,-6,0,ELP,SAT,496,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,630,630,1021,1030,WN,922,NA,111,120,NA,-9,0,PHX,OKC,833,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,12,1,1150,1150,1217,1225,WN,956,NA,87,95,NA,-8,0,ELP,LAS,584,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,1904,1855,2115,2100,WN,997,NA,71,65,NA,15,9,PHX,ELP,347,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1650,1643,1818,1759,EA,670,NA,88,76,NA,19,7,RDU,LGA,431,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1939,1939,2111,2111,EA,698,NA,92,92,NA,0,0,ATL,IAD,533,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1733,1733,1755,1756,EA,735,NA,22,23,NA,-1,0,AVP,ABE,50,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1827,1827,2034,2015,EA,763,NA,127,108,NA,19,0,DTW,ATL,594,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,1006,953,1240,1218,EA,791,NA,154,145,NA,22,13,PHL,SRQ,956,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1740,1740,1832,1829,EA,829,NA,52,49,NA,3,0,ATL,GSP,153,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,1816,1658,2041,1930,EA,866,NA,145,152,NA,71,78,PBI,LGA,1035,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,800,800,1035,1042,EA,892,NA,155,162,NA,-7,0,MIA,LGA,1097,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,1255,1255,1518,1514,EA,943,NA,143,139,NA,4,0,LGA,ATL,761,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,16,5,800,800,854,902,EA,1001,NA,54,62,NA,-8,0,BOS,LGA,185,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,800,800,905,913,EA,1411,NA,65,73,NA,-8,0,LGA,DCA,214,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,10,6,806,806,915,920,EA,1608,NA,69,74,NA,-5,0,MIA,TLH,403,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,11,7,2300,2057,2246,2041,EA,1644,NA,46,44,NA,125,123,ATL,HSV,151,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1315,1315,1404,1405,EA,1686,NA,49,50,NA,-1,0,MIA,TPA,204,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,1545,1540,1750,1740,HP,11,NA,305,300,NA,10,5,JFK,PHX,2153,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1607,1605,1734,1715,HP,31,NA,87,70,NA,19,2,PHX,LAX,370,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,14,3,1750,1750,1856,1905,HP,76,NA,66,75,NA,-9,0,SJC,LAS,386,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,2345,2345,401,405,HP,176,NA,136,140,NA,-4,0,LAS,ICT,987,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,2315,2315,2345,2345,HP,251,NA,30,30,NA,0,0,DSM,CID,104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,1642,1635,1900,1855,HP,410,NA,78,80,NA,5,7,PHX,GJT,438,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1215,1215,1320,1305,HP,494,NA,65,50,NA,15,0,LAS,PHX,256,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,8,4,1512,1510,1707,1705,HP,550,NA,115,115,NA,2,2,PHX,SMF,647,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,1300,1300,1345,1350,HP,637,NA,45,50,NA,-5,0,LAS,ONT,197,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,2310,2310,2351,2355,HP,763,NA,161,165,NA,-4,0,OMA,LAS,1099,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1410,1410,1347,1355,HP,859,NA,97,105,NA,-8,0,MAF,PHX,580,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,835,830,1123,1105,HP,1028,NA,288,275,NA,18,5,BWI,PHX,1999,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1815,1815,2012,2005,HP,1111,NA,57,50,NA,7,0,LAS,PHX,256,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,700,700,810,800,HP,1224,NA,70,60,NA,10,0,SNA,PHX,338,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,1735,1725,1807,1755,HP,1258,NA,32,30,NA,12,10,CID,DSM,104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1350,1350,1645,1625,NW,34,NA,175,155,NA,20,0,TPA,JFK,1005,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,1152,1155,1722,1735,NW,63,NA,210,220,NA,-13,-3,SEA,ORD,1721,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,903,900,1100,1108,NW,120,NA,57,68,NA,-8,3,ORD,DTW,235,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,3,6,1757,1800,1959,2010,NW,180,NA,62,70,NA,-11,-3,ORD,DTW,235,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1955,1955,2141,2125,NW,211,NA,106,90,NA,16,0,PHL,DTW,453,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,2008,2000,2052,2041,NW,250,NA,44,41,NA,11,8,DTW,CLE,95,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,12,1,1800,1755,1926,1915,NW,278,NA,86,80,NA,11,5,HOU,MEM,484,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,7,3,930,930,1108,1108,NW,301,NA,218,218,NA,0,0,MSP,LAX,1536,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,8,4,1619,1610,1800,1747,NW,340,NA,101,97,NA,13,9,DTW,EWR,487,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,2115,2115,2233,2245,NW,376,NA,78,90,NA,-12,0,DTW,EWR,487,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,645,645,836,847,NW,410,NA,51,62,NA,-11,0,MKE,DTW,238,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,940,940,1223,1208,NW,440,NA,163,148,NA,15,0,MCO,DTW,957,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,645,640,822,805,NW,471,NA,97,85,NA,17,5,ORD,MEM,491,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1445,1445,1635,1630,NW,494,NA,110,105,NA,5,0,ATL,DTW,594,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,930,930,1118,1100,NW,524,NA,108,90,NA,18,0,DTW,LGA,501,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,1035,1035,1142,1140,NW,553,NA,67,65,NA,2,0,MSY,MEM,349,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1318,1320,2022,2018,NW,580,NA,244,238,NA,4,-2,SEA,DTW,1927,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,1000,1000,1138,1130,NW,610,NA,98,90,NA,8,0,IND,MSP,503,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1555,1550,1926,1916,NW,634,NA,151,146,NA,10,5,MEM,LGA,963,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1310,1310,1250,1250,NW,674,NA,40,40,NA,0,0,DTW,FWA,128,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1605,1605,1720,1715,NW,692,NA,75,70,NA,5,0,DTW,SYR,374,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,12,1,1140,1140,1640,1645,NW,718,NA,180,185,NA,-5,0,RNO,MSP,1406,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,629,625,726,715,NW,761,NA,57,50,NA,11,4,DSM,MSP,232,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,1540,1540,1716,1718,NW,793,NA,96,98,NA,-2,0,MEM,AUS,559,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1605,1605,1659,1700,NW,817,NA,54,55,NA,-1,0,MEM,JAN,189,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,2135,1950,2347,2205,NW,836,NA,72,75,NA,102,105,MEM,CVG,403,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,705,705,823,834,NW,873,NA,78,89,NA,-11,0,ABE,DTW,424,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,NA,1320,NA,1610,NW,896,NA,NA,110,NA,NA,NA,MSP,BUF,734,NA,NA,1,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,840,840,929,930,NW,953,NA,49,50,NA,-1,0,MEM,BNA,200,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1735,1735,2000,2000,NW,974,NA,85,85,NA,0,0,STL,DTW,440,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,1755,1755,1908,1907,NW,1000,NA,73,72,NA,1,0,VPS,MEM,369,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1320,1320,1633,1632,NW,1052,NA,133,132,NA,1,0,MSP,IAD,908,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,650,650,741,727,NW,1100,NA,51,37,NA,14,0,CLE,DTW,95,NA,NA,0,NA,0,NA,NA,NA,NA,NA
